id A,id B,Name Decomposition A,Name Decomposition B,Suffix Phone A,Suffix Phone B,Suffix Website A,Suffix Website B,Matching Score
11987,212572,"{'département', 'du', 'rhône'}","{'département', 'du', 'rhône'}",72617777,72617777,rhone.fr,rhone.fr,1.0
12022,185239,"{'sea', 'tpi'}","{'sea', 'tpi'}",42981130,42981130,seatpi.com,seatpi.com,1.0
12074,229186,"{'studio', 'le'}","{'studio', 'le', 'vc'}",nan,nan,lestudio.vc,lestudio.vc,0.8333333333333334
12082,187002,"{'plc', 'taylor', 'wimpey'}","{'taylor', 'wimpey'}",73558100,73558100,taylorwimpey.co.uk,taylorwimpey.com,0.5263157894736842
12106,197731,"{'city', 'council', 'belfast'}","{'city', 'council', 'belfast'}",90320202,90320202,belfastcity.gov.uk,belfastcity.gov.uk,0.8421052631578947
12108,301146,"{'france', 'roth'}","{'france', 'roth'}",nan,nan,roth-france.fr,roth-france.fr,0.8461538461538461
12130,99471,"{'labs', 'by', 'avast', 'location'}","{'labs', 'location'}",09924547,nan,locationlabs.com,locationlabs.com,0.5
12134,246205,"{'bleu', 'libellule'}","{'bleu', 'libellule'}",66717480,56784678,bleulibellule.com,bleulibellule.com,0.5789473684210527
12149,191986,{'wipro'},{'wipro'},nan,28440011,wipro.com,wipro.com,0.5789473684210527
12153,77764,{'grdf'},{'grdf'},69363534,69363534,grdf.fr,grdf.fr,1.0
12215,12215,"{'aircraft', 'atr'}","{'aircraft', 'atr'}",62216747,62216747,atr-aircraft.com,atr-aircraft.com,1.0
12217,12217,"{'crdit', 'nord', 'de', 'france', 'agricole'}","{'crdit', 'nord', 'de', 'france', 'agricole'}",69399291,69399291,ca-norddefrance.fr,ca-norddefrance.fr,1.0
12247,251233,"{'s.a.', 'partir', 'à', 'prêt'}","{'s.a.', 'partir', 'à', 'prêt'}",83651515,83651515,pretapartir.fr,pretapartir.fr,1.0
12278,212346,{'wirecard'},{'wirecard'},44241400,44241400,wirecard.com,wirecard.com,1.0
12295,186129,"{'plc', 'awilco', 'drilling'}","{'plc', 'awilco', 'drilling'}",24737900,24737900,awilcodrilling.com,awilcodrilling.com,1.0
12305,12305,"{'group', 'plc', 'mears'}","{'group', 'plc', 'mears'}",53511911,53511911,mearsgroup.co.uk,mearsgroup.co.uk,1.0
12323,225441,{'csc'},{'csc'},38761000,38761000,csc.com,csc.com,1.0
12393,237373,{'lemonway'},{'lemonway'},48570315,48570315,lemonway.com,lemonway.com,1.0
12541,183951,"{'elettroforniture', 'sacchi'}","{'sacchi', 's.p.a.', 'giuseppe'}",03626351,03626351,sacchi.it,sacchi.it,0.8947368421052632
12602,369799,{'rtbf'},{'rtbf'},27374881,nan,rtbf.be,rtbf.be,0.5789473684210527
12632,12632,{'zenlap'},{'zenlap'},nan,nan,zenlap.com,zenlap.com,0.9166666666666666
12638,210285,{'astrazeneca'},{'astrazeneca'},73045000,73045000,astrazeneca.com,astrazeneca.com,0.8421052631578947
12661,214593,{'alven'},{'alven'},55343838,55343838,alvencapital.com,alvencapital.com,1.0
12732,12732,{'babilou'},{'babilou'},84164963,84164963,creche-kidscool.fr,creche-kidscool.fr,1.0
12751,187427,"{'advisors', 'l.p.', 'hudson'}","{'advisors', 'hudson'}",)7548400,47548400,hudson-advisors.com,hudson-advisors.com,0.5263157894736842
12806,8953,{'spintank'},{'spintank'},43144625,43144625,spintank.fr,spintank.fr,1.0
12817,277753,{'intrasense'},{'intrasense'},67130130,67130130,intrasense.fr,intrasense.fr,1.0
12820,12820,{'hermes'},{'hermes'},)6232177,)6232177,hermes.com,hermes.com,1.0
12908,12908,"{'digital', 'inc', 'believe'}","{'digital', 'inc', 'believe'}",nan,nan,believedigital.com,believedigital.com,0.8461538461538461
12937,203374,"{'212', 'fahrenheit'}","{'212', 'llc', 'fahrenheit'}",)6541212,63858402,fahrenheit-212.com,fahrenheit-212.com,0.5263157894736842
12939,12939,{'dpd'},{'dpd'},99339900,99339900,dpd.nl,dpd.nl,1.0
12989,185242,"{'ltd.', 'world', 'local'}","{'limited', 'world', 'local'}",37631500,37631500,localworld.co.uk,localworld.co.uk,0.7894736842105263
13000,197859,{'ayima'},{'ayima'},71485970,71485970,ayima.com,ayima.com,1.0
13142,99071,{'sita'},{'sita'},nan,nan,sita.aero,sita.aero,0.9166666666666666
13296,173574,{'lexmark'},"{'france', 'lexmark'}",nan,46674000,lexmark.fr,lexmark.fr,0.5
13374,13374,"{'groupe', 'afg'}","{'groupe', 'afg'}",20980843,20980843,groupeafg.com,groupeafg.com,1.0
